지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 성동구 행당동 168-151 왕십리민자역사,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 5층 (행당동)",4750.0,CGV 왕십리점,127.038394194396,37.5614417528647
서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어,"서울특별시 성동구 왕십리로 50, 메가박스 스퀘어 3층 (성수동1가)",4778.0,메가박스중앙(주) 성수지점 더부티크 102호,127.044975552245,37.5419000229184
서울특별시 성북구 동선동1가 1-2,"서울특별시 성북구 동소문로 106, 11층 (동선동1가)",2845.0,"CGV 성신여대입구 2관 02-3415-6781, ",127.017088831326,37.5925747617089
서울특별시 성북구 돈암동 538-98,서울특별시 성북구 아리랑로 82 (돈암동),2827.0,아리랑시네센터(아리랑인디웨이브),127.013893650352,37.6001190917898
서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 호텔로202동 214호 (문정동, 파크하비오)",5837.0,메가박스 송파파크하비오점(1관),127.124979804141,37.4796870553794
서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",5551.0,롯데시네마 월드타워점,127.104301829165,37.5137129859207
서울특별시 송파구 문정동 516 가든파이브라이프영관 10층,"서울특별시 송파구 충민로 66 (문정동, 가든파이브라이프영관 10층)",5838.0,CGV 송파점,127.124961768886,37.4776148442516
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",7998.0,메가박스중앙 더부티크목동현대백화점,126.874619136454,37.5273217750941
서울특별시 양천구 목동 917-6 행복한세상백화점 7층,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",7997.0,메가박스중앙 목동지점 COMFORT,126.875984665042,37.5292109947037
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",7306.0,롯데시네마 영등포점,126.907665995469,37.5156680341198
서울특별시 영등포구 여의도동 23,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",7326.0,CGV 여의도점,126.924876706923,37.5251775245928
서울특별시 영등포구 영등포동4가 442,"서울특별시 영등포구 영중로 15, 6층 (영등포동4가, 타임스퀘어)",7305.0,CGV 영등포점,126.903715993779,37.5172332566615
서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",4372.0,롯데시네마 용산점,,
서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377.0,씨지브이 용산아이파크몰,126.964741503485,37.5297718014452
서울특별시 은평구 녹번동 85-4번지,서울특별시 은평구 녹번로 16  (녹번동),,이동상영관,126.927901672834,37.6036996869964
서울특별시 은평구 대조동 240번지 팜스퀘어,"서울특별시 은평구 불광로 20, 13층 (대조동, 팜스퀘어)",3397.0,CGV 불광점,126.928938477038,37.6097357749976
서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),3306.0,롯데시네마 은평점,126.917900261732,37.6375366740938
