도로명주소,사업자명,H_KOR_GU,H_KOR_DONG,경도,위도
서울특별시 영등포구 경인로 841 (영등포동4가),영등포우체국,영등포구,영등포동,126.90604309721,37.5165301858178
서울특별시 영등포구 여의공원로 13 (여의도동),한국방송공사우체국,영등포구,여의동,126.916716838156,37.5259698897016
서울특별시 영등포구 63로 50 (여의도동),한화생명빌딩우체국,영등포구,여의동,126.939909338068,37.5196641552816
서울특별시 종로구 종로 6 (서린동),서울지방우정청,종로구,종로1.2.3.4가동,126.978096062325,37.5698416253417
서울특별시 종로구 종로6,광화문우체국,종로구,종로1.2.3.4가동,126.978096062325,37.5698416253417
"서울특별시 종로구 대학로 103, 서울대학교병원 본관 지하1층",서울대학교병원우체국,종로구,이화동,127.001141181595,37.5812861026278
서울특별시 종로구 북촌로 112,서울삼청동우체국,종로구,삼청동,126.984449616492,37.5871430716116
서울특별시 종로구 세검정로 258,서울세검정우체국,종로구,부암동,126.961265379907,37.6013790848493
서울특별시 강북구 한천로 105길 27,서울번3동우체국,강북구,번3동,127.046235605819,37.6257144314897
서울특별시 도봉구 마들로 749,서울북부지방법원우체국,도봉구,도봉2동,127.047164096393,37.6773960624828
서울특별시 용산구 원효로 227 (원효로1가),서울원효로우체국,용산구,원효로1동,126.966818678776,37.538653388533
서울특별시 용산구 이촌로 77길 9 (이촌동),서울이촌동우체국,용산구,이촌1동,126.974909836836,37.5202353080943
서울특별시 용산구 녹사평대로 212 (이태원동),서울이태원우체국,용산구,이태원2동,126.98724744106,37.5366042521004
서울특별시 용산구 대사관로 49 (한남동),서울한남동우체국,용산구,한남동,127.003582816069,37.5336211322074
서울특별시 용산구 후암로 58-1 (후암동),서울후암동우체국,용산구,후암동,126.977286964592,37.5511300202415
서울특별시 용산구 청파로 56 (한강로3가),용산전자단지우체국,용산구,한강로동,126.957484351601,37.5324037594946
서울특별시 은평구 진관2로 29-8 (진관동),서울은평우체국,은평구,진관동,126.920611543208,37.6354505869129
서울특별시 은평구 서오릉로 190 (갈현동),서울갈현동우체국,은평구,갈현2동,126.912566834156,37.6136920150355
서울특별시 은평구 통일로71길 20 (대조동),서울대조동우체국,은평구,대조동,126.926681493496,37.6128782149785
서울특별시 은평구 수색로 248 (수색동),서울수색우체국,은평구,수색동,126.896545371253,37.5817519977545
서울특별시 은평구 연서로 306 (불광동),서울연신내우체국,은평구,불광2동,126.927537743581,37.6226799607522
서울특별시 은평구 은평로9길 13 (응암1동),서울응암1동우체국,은평구,응암1동,126.921205947636,37.6013680588223
서울특별시 은평구 응암로 214 (응암동),서울응암동우체국,은평구,응암3동,,
서울특별시 중랑구 망우로 271,서울중랑우체국,중랑구,상봉1동,127.082706165917,37.595969438453
서울특별시 중랑구 망우로 447,서울망우1동우체국,중랑구,망우본동,127.10163020798,37.6004102401465
서울특별시 중랑구 면목로 37길 57,서울면목7동우체국,중랑구,면목5동,127.082931350864,37.5800147769383
서울특별시 중랑구 면목로 344,서울면목동우체국,중랑구,면목제3.8동,127.088816504802,37.5826040953375
서울특별시 중랑구 동일로 895,서울묵동우체국,중랑구,묵2동,127.077441070509,37.6103679495405
서울특별시 중랑구 신내로 17길 112,서울신내동우체국,중랑구,신내2동,127.090494871048,37.6170726472417
서울특별시 중랑구 동일로 784,서울중화동우체국,중랑구,중화1동,127.080009372485,37.6005200398707
서울특별시 중구 소공로 70 (층무로1가),서울중앙우체국,중구,명동,126.982169090151,37.5615987374058
서울특별시 중구 남대문로1길 34 (북창동),서울소공동우체국,중구,소공동,126.977576070148,37.5625795902134
서울특별시 중구 다산로 128-8 (신당동),서울신당동우체국,중구,약수동,127.011273115285,37.5548964868146
서울특별시 중구 통일로 21 (봉래동2가),서울역전우체국,중구,회현동,126.971400388297,37.5575861021915
서울특별시 중구 을지로 154-2 (을지로4가),서울을지로4가우체국,중구,을지로동,126.995163067598,37.5662028147426
서울특별시 서초구 서초중앙로 157,서울법원청사우체국,서초구,서초3동,127.01112323944,37.4982761803595
서울특별시 서초구 효령로 60길 13,서울서초1동우체국,서초구,서초1동,127.018771256073,37.4849385011941
서울특별시 서초구 반포대로 99,서울서초3동우체국,서초구,서초3동,127.008643649686,37.4890657527209
서울특별시 서초구 남부순환로 356길 5,서울양재동우체국,서초구,양재1동,127.037764011719,37.4847178952962
서울특별시 서초구 태봉로 58,서울우면동우체국,서초구,양재1동,127.024598786012,37.463739008294
서울특별시 서초구 신반포로 10,서울이수우체국,서초구,반포본동,,
서울특별시 성북구 동소문로 310 (하월곡동),서울성북우체국,성북구,월곡1동,127.02935681514,37.6073097645122
서울특별시 성북구 안암로 145 (안암동5가),고려대학교우체국,성북구,안암동,127.031698331241,37.5887034223667
서울특별시 성북구 보문로 178 (삼선동4가),서울돈암동우체국,성북구,삼선동,127.01570693004,37.5901923700826
서울특별시 성북구 성북로2길 31 (동소문동),서울동소문동우체국,성북구,삼선동,127.007391562683,37.5896492546146
서울특별시 성북구 화랑로 203 (장위동),서울석관동우체국,성북구,장위2동,127.052444804217,37.6087715471198
