id,type,code,name,latitude,longitude
25971,subway,S1925TRSU263,05호선 여의나루역,37.5286772,126.931422
25972,subway,S1925TRSU264,05호선 여의도역,37.521681,126.924234
25973,subway,S1925TRSU265,09호선 여의도역,37.5234276,126.922184
25974,subway,S0110TRSU266,신분당선 강남역,37.497952,127.027619
25975,subway,S0110TRSU267,02호선 강남역,37.497952,127.027619
25976,subway,S0110TRSU268,09호선 신논현역,37.5055482,127.028356
25977,subway,S0110TRSU269,신분당선 신논현역,37.4903385,127.031483
25978,subway,S0110TRSU270,02호선 역삼역,37.5028587,127.043612
25979,subway,S1219TRSU271,02호선 이대역,37.5568691,126.948315
25980,subway,S0409TRSU272,09호선 염창역,37.5470744,126.87573
25981,subway,S1926TRSU273,01호선 영등포역,37.5156493,126.906334
25982,subway,S1916TRSU274,01호선 신길역,37.5169643,126.917655
25983,subway,S1927TRSU275,05호선 신길역,37.5177008,126.914487
25984,subway,S1931TRSU276,05호선 영등포시장역,37.5220821,126.90593
25985,subway,S1710TRSU277,03호선 오금역,37.5042523,127.124905
25986,subway,S1710TRSU278,05호선 오금역,37.5042523,127.124905
25987,subway,S0607TRSU279,01호선 오류동역,37.495357,126.845364
25988,subway,S1512TRSU280,03호선 옥수역,37.5393647,127.016963
25989,subway,S1512TRSU281,경의선 옥수역,37.5393647,127.016963
25990,subway,S0608TRSU282,01호선 온수(성공회대입구)역,37.4916836,126.821863
25991,subway,S0608TRSU283,07호선 온수(성공회대입구)역,37.4921003,126.823298
25992,subway,S1513TRSU284,05호선 답십리역,37.5664292,127.053167
25993,subway,S1513TRSU285,02호선 신답역,37.5710185,127.045099
25994,subway,S1513TRSU286,02호선 용답역,37.5710452,127.045914
25995,subway,S1003TRSU287,02호선 용두(동대문구청)역,37.5733085,127.040674
25996,subway,S2017TRSU288,06호선 녹사평(용산구청)역,37.5344542,126.985588
25997,subway,S2018TRSU289,04호선 이촌(국립중앙박물관)역,37.5217305,126.976009
25998,subway,S2024TRSU290,경의선 이촌(국립중앙박물관)역,37.5222165,126.973577
25999,subway,S0304TRSU291,우이신설경전철 4·19 민주묘지역,37.6500603,127.013394
26000,subway,S0304TRSU292,우이신설경전철 북한산우이역,37.6624217,127.012875
26001,subway,S0304TRSU293,우이신설경전철 솔밭공원역,37.6566194,127.013361
26002,subway,S0803TRSU294,01호선 광운대역,37.625485,127.061126
26003,subway,S0803TRSU295,경춘선 광운대역,37.625485,127.061126
26004,subway,S0803TRSU296,01호선 석계역,37.6153196,127.065614
26005,subway,S0803TRSU297,06호선 석계역,37.6152559,127.066792
26006,subway,S0803TRSU298,01호선 월계역,37.6350636,127.058913
26007,subway,S2337TRSU299,02호선 을지로입구역,37.5660425,126.982061
26008,subway,S2339TRSU300,03호선 을지로3가역,37.5663862,126.993686
26009,subway,S2339TRSU301,02호선 을지로3가역,37.5661967,126.990211
26010,subway,S2355TRSU302,05호선 을지로4가역,37.5674316,126.99801
26011,subway,S2340TRSU303,02호선 을지로4가역,37.5665125,126.996527
26012,subway,S2302TRSU304,04호선 동대문역사문화공원(DDP)역,37.5647285,127.007415
26013,subway,S2301TRSU305,05호선 동대문역사문화공원(DDP)역,37.5646925,127.005503
26014,subway,S2343TRSU306,02호선 동대문역사문화공원(DDP)역,37.5656835,127.008864
26015,subway,S1514TRSU307,경의선 응봉역,37.5504342,127.034902
26016,subway,S1004TRSU308,01호선 신이문역,37.6051816,127.069105
26017,subway,S1004TRSU309,01호선 외대앞역,37.5991018,127.065748
26018,subway,S2025TRSU310,06호선 이태원역,37.5346083,126.99585
26019,subway,S0112TRSU311,수인분당선 대모산입구역,37.4913389,127.072892
26020,subway,S0112TRSU312,03호선 대청역,37.4936412,127.079543
26021,subway,S0112TRSU313,03호선 일원역,37.4839881,127.084429
26022,subway,S2505TRSU314,07호선 뚝섬유원지역,37.5318692,127.066934
26023,subway,S1711TRSU315,09호선 삼전역,37.5035379,127.087199
26024,subway,S1711TRSU316,02호선 잠실새내역,37.5114305,127.087411
26025,subway,S1711TRSU317,02호선 종합운동장역,37.511097,127.074268
26026,subway,S1711TRSU318,09호선 종합운동장역,37.5115368,127.076881
26027,subway,S1410TRSU319,07호선 반포역,37.5078485,127.010374
26028,subway,S1410TRSU320,03호선 잠원역,37.5130561,127.011743
26029,subway,S1005TRSU321,05호선 장한평역,37.5621459,127.060634
26030,subway,S1712TRSU322,수인분당선 복정역,37.4707512,127.126693
26031,subway,S1712TRSU323,08호선 복정역,37.4707512,127.126693
26032,subway,S1712TRSU324,08호선 장지역,37.4767426,127.126906
26033,subway,S2351TRSU325,03호선 동대입구역,37.5591695,127.004902
26034,subway,S2260TRSU326,03호선 경복궁역,37.5757443,126.973003
26035,subway,S1006TRSU327,경의선 청량리(서울시립대입구)역,37.5801444,127.047878
26036,subway,S1006TRSU328,경춘선 청량리(서울시립대입구)역,37.5801444,127.047878
26037,subway,S1006TRSU329,수인분당선 청량리(서울시립대입구)역,37.5801444,127.047878
26038,subway,S1006TRSU330,01호선 청량리(서울시립대입구)역,37.5797397,127.045976
26039,subway,S2354TRSU331,01호선 시청역,37.5655911,126.976923
26040,subway,S2327TRSU332,02호선 시청역,37.5635545,126.975509
26041,subway,S1637TRSU333,우이신설경전철 북한산보국문역,37.6114716,127.008688
26042,subway,S1637TRSU334,우이신설경전철 정릉역,37.6026416,127.013466
26043,subway,S1007TRSU335,01호선 제기동역,37.5782556,127.038764
26044,subway,S2261TRSU336,01호선 종각역,37.570214,126.981392
26045,subway,S2227TRSU337,03호선 종로3가역,37.5724227,126.991727
26046,subway,S2221TRSU338,05호선 종로3가역,37.5725397,126.990334
26047,subway,S2263TRSU339,01호선 종로3가역,37.5704314,126.990878
26048,subway,S2265TRSU340,01호선 종로5가역,37.5710085,127.002764
26049,subway,S1638TRSU341,06호선 고려대역,37.589672,127.035916
26050,subway,S0804TRSU342,07호선 중계역,37.6404386,127.066168
26051,subway,S2506TRSU343,07호선 중곡역,37.5654926,127.084044
26052,subway,S2406TRSU344,경춘선 중랑역,37.5947982,127.075765
26053,subway,S2406TRSU345,07호선 중화역,37.6015542,127.077912
26054,subway,S2106TRSU346,경의선 디지털미디어시티역,37.5781548,126.899904
26055,subway,S2110TRSU347,06호선 디지털미디어시티역,37.5771745,126.901954
26056,subway,S1211TRSU348,공항철도 디지털미디어시티역,37.5767488,126.899317
26057,subway,S2110TRSU349,06호선 증산(명지대앞)역,37.5836316,126.909361
26058,subway,S2111TRSU350,03호선 구파발역,37.6381296,126.918222
26059,subway,S0904TRSU351,04호선 쌍문역,37.6488488,127.034935
26060,subway,S0904TRSU352,04호선 창동역,37.6532592,127.047708
26061,subway,S0904TRSU353,01호선 창동역,37.6532592,127.047708
26062,subway,S2311TRSU354,04호선 회현(남대문시장)역,37.5576713,126.976722
26063,subway,S2266TRSU355,04호선 동대문역,37.5708821,127.009272
26064,subway,S2269TRSU356,01호선 동대문역,37.571783,127.011401
26065,subway,S2269TRSU357,06호선 창신역,37.5793148,127.015285
26066,subway,S1222TRSU358,06호선 광흥창(서강)역,37.5475535,126.932298
26067,subway,S0609TRSU359,07호선 천왕역,37.4872671,126.839422
26068,subway,S0209TRSU360,05호선 강동역,37.5357682,127.134111
26069,subway,S0209TRSU361,05호선 천호(풍납토성)역,37.53849,127.125086
26070,subway,S0209TRSU362,08호선 천호(풍납토성)역,37.53849,127.125086
26071,subway,S0114TRSU363,07호선 청담역,37.5187052,127.049186
26072,subway,S2360TRSU364,04호선 명동역,37.5608263,126.985718
26073,subway,S1316TRSU365,05호선 충정로(경기대입구)역,37.5611096,126.963478
26074,subway,S1316TRSU366,02호선 충정로(경기대입구)역,37.559569,126.96392
26075,subway,S2277TRSU367,05호선 서대문역,37.5659939,126.966668
26076,subway,S2368TRSU368,04호선 충무로역,37.5612326,126.994388
26077,subway,S2368TRSU369,03호선 충무로역,37.5612326,126.994388
26078,subway,S0805TRSU370,07호선 하계역,37.6352387,127.068509
26079,subway,S1515TRSU371,02호선 상왕십리역,37.5639594,127.029792
26080,subway,S1639TRSU372,06호선 월곡(동덕여대)역,37.6017344,127.041391
26081,subway,S2031TRSU373,04호선 삼각지역,37.5348304,126.973448
26082,subway,S2031TRSU374,06호선 삼각지역,37.5360646,126.973006
26083,subway,S2032TRSU375,04호선 신용산역,37.5291528,126.968404
26084,subway,S2033TRSU376,01호선 용산역,37.529584,126.963935
26085,subway,S2033TRSU377,경의선 용산역,37.529584,126.963935
26086,subway,S2034TRSU378,06호선 한강진역,37.5409064,127.001824
26087,subway,S2034TRSU379,경의선 한남역,37.5292743,127.008963
26088,subway,S1516TRSU380,경의선 왕십리(성동구청)역,37.5610558,127.038416
26089,subway,S1516TRSU381,수인분당선 왕십리(성동구청)역,37.5610558,127.038416
