정류장명,위도,경도
서울역버스환승센터.강우규의거터,37.555411,126.972926
숭례문,37.55863886,126.9737784
숭례문(가상),37.55979677,126.9743556
서울시청,37.56613826,126.9806321
만리동고개,37.55178706,126.9626582
손기정체육공원입구,37.55444595,126.9662339
서울의료보건고등학교.서울역서부,37.555848,126.968902
서울역서부,37.556235,126.969153
서울역서부,37.557133,126.969212
중림동교차로,37.55838363,126.9691354
종근당.충정로역,37.559648,126.964543
한국경제신문사.서소문역사공원,37.56021115,126.967868
한국경제신문사.서소문역사공원,37.56062347,126.9681135
경찰청.동북아역사재단,37.56304949,126.9691267
장충동써미트호텔,37.562273,127.00667
서대문경찰서.농협은행.유관순활동터,37.56490628,126.9677868
염천교,37.559869,126.973113
숭례문,37.558401,126.973359
숭례문.한국일보,37.55877131,126.9737376
후암삼거리,37.553408,126.975993
숭례문,37.55876338,126.9743627
숭례문,37.55841953,126.9740437
숭례문,37.55800065,126.9736279
남대문시장악세사리전문상가,37.558873,126.976
숭례문남산방향,37.55855816,126.9756721
남대문시장,37.56119108,126.9800598
북창동.남대문시장,37.56123,126.978282
시청앞,37.562197,126.976443
삼성본관앞,37.56205175,126.9759075
시청앞,37.56276421,126.9761487
서소문,37.563191,126.974652
시청.서소문청사,37.56352484,126.9749539
서울신문사,37.56836329,126.9773647
우리은행종로지점,37.567519,126.9829289
롯데백화점,37.56451,126.982205
해운센터.롯데영프라자,37.56289078,126.9815478
롯데영프라자,37.562885,126.982008
신세계백화점,37.561128,126.981432
남대문시장.회현역,37.55826752,126.9777651
남대문시장.회현역,37.55849203,126.9784645
남산3호터널,37.558312,126.98274
남산3호터널.서울애니메이션센터,37.55952609,126.9826359
명동역4번출구,37.560657,126.984917
퇴계로2가.명동역5번출구,37.56093,126.984362
퇴계로3가.한옥마을.한국의집,37.56125082,126.9917772
퇴계로3가.한옥마을.한국의집,37.560902,126.99241
충무로역2번출구.대한극장앞,37.561238,126.994728
충무로역8번출구.대한극장앞,37.56203716,126.9964922
초동,37.56334618,126.993112
을지로입구.로얄호텔,37.56587574,126.9853903
을지로입구.시청입구,37.56613826,126.9811712
을지로2가.기업은행본점.서울노동청,37.56624623,126.9865234
을지로2가.파인에비뉴,37.566072,126.98867
을지로3가,37.566375,126.990263
을지로3가,37.56612052,126.9913276
을지로4가,37.566687,126.995933
을지로4가.베스트웨스턴국도,37.56640104,126.9968473
중구청앞.덕수중학교,37.5647746,126.9981401
방산시장.을지로4가역6번출구,37.56681829,126.9992585
을지로5가.중부시장,37.56662004,127.001115
방산시장.훈련원종합체육관,37.56796085,127.0024045
을지로5가.훈련원종합체육관,37.56582435,127.0025946
을지로6가.국립중앙의료원,37.566173,127.006233
광희동,37.56505283,127.0072097
광희동,37.565171,127.00772
을지로6가.국립중앙의료원,37.56646311,127.0058435
동대문역사문화공원,37.56735414,127.0083555
동대문역사문화공원,37.567483,127.00917
충무아트센터.스포츠센터.중부소방서,37.565168,127.013527
충무아트센터.스포츠센터.중부소방서,37.56501789,127.0147409
성동공업고등학교(무궁화회관),37.56834819,127.0157558
성동공업고등학교앞,37.56869506,127.0161295
신당역.중앙시장앞,37.56572828,127.0187427
신당역.중앙시장앞,37.56549207,127.0194795
성동고등학교,37.565595,127.022183
성동고등학교,37.56524,127.022398
신당동떡볶이타운.중구여성플라자,37.562798,127.015095
신당동떡볶이타운.중구여성플라자,37.56231004,127.0151909
신당동.청구역,37.5589483,127.0132161
신당동.청구역,37.5592574,127.0130317
약수역2번출구.가온도서관,37.555794,127.011043
약수역3번출구.약수하이츠,37.55574961,127.0113797
약수역4번출구.금호터널입구,37.553399,127.012012
약수역5번출구.금호터널입구,37.55292373,127.0118693
약수역8번출구.신당사회복지관,37.55386465,127.0099567
약수역7번출구.약수동주민센터,37.55285097,127.0092978
송도병원앞,37.55026765,127.0077187
송도병원앞,37.55022712,127.0073984
약수역1번출구,37.556253,127.009758
장충체육관앞,37.558336,127.008065
장충체육관앞,37.55800173,127.0078282
장충동.동국대입구,37.56058093,127.0058213
장충동.동국대입구,37.56066639,127.0056291
퇴계로6가,37.56340113,127.0039011
퇴계로6가,37.56353,127.003375
퇴계로5가,37.56238041,126.999966
퇴계로5가,37.56278042,126.9997252
국립극장.반얀트리호텔,37.55148182,127.0010947
국립극장.반얀트리호텔,37.551535,127.000752
청구역,37.55996006,127.0146561
청구역,37.55993038,127.0142192
동화동,37.560025,127.018124
동화동,37.55981268,127.0182737
백범광장,37.555737,126.980093
남대문경찰서,37.554127,126.973838
남대문시장앞.이회영활동터,37.56093942,126.9785804
남산케이블카.남산산책로입구,37.55526518,126.9839798
동대입구역.장충동,37.558362,127.005445
약수역10번출구,37.556256,127.009322
청계1가.광교,37.568572,126.983392
청계2가.삼일교,37.56784047,126.9885302
청계4가.배오개다리,37.56848437,126.9971755
청계5가.방산시장,37.569215,127.000827
청계6가.평화시장,37.569443,127.004387
청계7가.동평화.청평화시장,37.56951354,127.0138508
청계8가.영도교,37.570725,127.019
신한은행본점,37.56119655,126.9755852
동대문역사문화공원,37.56541133,127.0091092
버티고개,37.54780415,127.0060242
버티고개,37.547652,127.006189
청계3가.관수교,37.568214,126.992961
청계6가.오간수교,37.56948518,127.0090361
충무로역.매일경제,37.56169057,126.9933889
을지로입구역.광교,37.56765,126.982562
신당파인힐하나유보라,37.564982,127.024858
명동입구,37.564545,126.982588
남산북측순환로입구,37.55069862,126.9988218
신당동삼성아파트.금호여중,37.5585545,127.0187299
신당동대우푸르지오.금호여중,37.557805,127.019292
황학동주민센터,37.56685562,127.0234024
신당초등학교앞,37.564662,127.023723
금호베스트빌.래미안하이베르,37.561643,127.024067
금호베스트빌.래미안하이베르,37.56225445,127.0243472
신당초등학교,37.56450284,127.0242404
서대문경찰서.농협은행.유관순활동터,37.565132,126.967647
방산종합시장,37.56780587,127.0019301
