지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 광진구 구의동 199-18번지 삼성쉐르빌B/D지하1층(115호),"서울특별시 광진구 구의강변로 106 (구의동,삼성쉐르빌B/D지하1층(115호))",,삼성쉐르빌골프연습장(6타석)(무단폐업),127.09489656845,37.53985699394
서울특별시 광진구 자양동 644번지 로얄동아 아파트 상가동 지하1층호,"서울특별시 광진구 뚝섬로52마길 60, 지하1층 (자양동, 로얄동아아파트)",5108,나이스골프,127.081723293358,37.5286213660041
서울특별시 광진구 자양동 677-6 (지층),서울특별시 광진구 자양로 39 (자양동),5103,이비피 골프아카데미,127.08571693048,37.5315319225716
서울특별시 광진구 중곡동 173-2번지 (5층),"서울특별시 광진구 면목로 161, 5층 (중곡동, 중곡빌딩)",4906,이글스크린골프,127.082032319458,37.5677094408244
서울특별시 광진구 자양동 550-1번지 (지층),"서울특별시 광진구 능동로 49, 지층 (자양동, 영지빌딩)",5074,마스터스골프클럽(19타석),127.068396709721,37.5358145080981
서울특별시 광진구 구의동 218-15번지 지하1층,"서울특별시 광진구 아차산로 444, 지하1층 (구의동)",5047,Y·N 스크린골프클럽,127.091935742903,37.5385374792914
서울특별시 광진구 광장동 484 지하2층,"서울특별시 광진구 아차산로70길 62, 지하2층 (광장동, 광장현대3단지아파트)",4974,비스코헬스케어,127.098995313099,37.5403766593492
서울특별시 광진구 자양동 8-30번지,서울특별시 광진구 아차산로 212  (자양동),,삼성골프연습장(2타석),127.066773482901,37.5408139153647
서울특별시 광진구 광장동 114 외2필지 지하1층,서울특별시 광진구 아차산로78길 44 (광장동),4969,리버사이드 스포츠,127.10990666093,37.5507930950574
서울특별시 광진구 중곡동 93-2번지 3층,"서울특별시 광진구 용마산로 10  (중곡동,3층)",,대성골프클럽(6타석),127.088841013335,37.5545352784401
서울특별시 광진구 광장동 576번지 현대9차 상가 B101호,,,현대골프연습장(6타석),,
서울특별시 광진구 화양동 10-1번지 2층,"서울특별시 광진구 능동로13길 39  (화양동,2층)",,역발산센터,127.069757721395,37.543959020957
서울특별시 광진구 자양동 779-8 현대홈시티 B동 101호,"서울특별시 광진구 자양로 109, B동 101호 (자양동, 구의현대홈시티)",5026,엠엔엠 피트니스골프,127.083099910723,37.5374066951935
서울특별시 광진구 자양동 779-3번지,"서울특별시 광진구 아차산로 353 (자양동, 금강태극빌)",5026,OK스크린골프,127.08209431704,37.5372444977042
서울특별시 광진구 구의동 251-32번지 청양빌딩 지하1층,"서울특별시 광진구 자양로 142 (구의동,청양빌딩 지하1층)",,골프스토리(구의점),127.083577293303,37.5402625281016
서울특별시 광진구 구의동 75-19번지 두루미빌딩 지하1층,"서울특별시 광진구 천호대로 676, 지하1층 (구의동)",4992,아차산스크린(스크린 5타석),127.08993019403,37.5505911469287
서울특별시 광진구 자양동 680-3 이주빌딩 지하1층,"서울특별시 광진구 자양로 90, 지하1층 (자양동, 이주빌딩)",5051,붐스크린골프&연습장,127.084253255468,37.5358393988947
서울특별시 광진구 구의동 202-27번지 지층,서울특별시 광진구 광나루로 586 (구의동),5033,썬라이즈(스크린 5타석),127.093703340621,37.5428801693639
서울특별시 광진구 능동 223-9 원진빌딩 지하1층,"서울특별시 광진구 능동로34길 27, 지하1층 (능동, 원진빌딩)",4985,싱글골프연습장,127.081017990154,37.5552556668064
서울특별시 광진구 자양동 856 이튼타워리버5차,"서울특별시 광진구 능동로4길 40, 지하1층 B102,103,104,105,106,107,108호 (자양동, 이튼타워리버5차)",5096,온그린 골프장,127.069454223606,37.5321114084584
