type,자치구,법정동,지번주소,월세(만원),보증금(만원),관리비(만원),면적,층수,위도,경도,주실 방향,주차,난방시설,엘리베이터,생활시설,안전시설,법정동_정제,행정동,행정동_정제
원룸,서울 금천구,독산동 1008,서울 금천구 독산동 1008,95,200,8.0,26.4m²,3층,37.4662257,126.8969651,남향(거실 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기","CCTV, 공동현관",독산동,독산1동,서울특별시 금천구 독산1동
원룸,서울 관악구,신림동 1464-65,서울 관악구 신림동 1464-65,25,300,9.0,19.8m²,1층,37.48376034,126.9239596,남서향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","디지털도어락, 공동현관, 인터폰",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,신림동 1460-23,서울 관악구 신림동 1460-23,45,200,9.0,19.8m²,2층,37.48614287,126.925644,동향(안방 기준),있음,중앙난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 책상","디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 484-20,서울 관악구 신림동 484-20,45,0,10.0,16.5m²,2층,37.48499452,126.9210446,동향(안방 기준),있음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거)","디지털도어락, 공동현관",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,신림동 1458-10,서울 관악구 신림동 1458-10,45,200,0.0,16.5m²,반지하,37.4871158,126.9253998,남향(안방 기준),있음,중앙난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 1421-2,서울 관악구 신림동 1421-2,65,0,9.0,19.8m²,2층,37.48554684,126.9322169,동향(안방 기준),있음,개별난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 1663-3,서울 관악구 신림동 1663-3,43,200,1.0,16.5m²,1층,37.48160366,126.9018122,남서향(안방 기준),없음,개별난방,없음,"냉장고, 인덕션, 세탁기, 전자레인지",CCTV,신림동,조원동,서울특별시 관악구 조원동
원룸,서울 관악구,신림동 480-1,서울 관악구 신림동 480-1,50,3000,10.0,16.5m²,2층,37.48603908,126.9181636,동향(안방 기준),있음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,신림동 103-124,서울 관악구 신림동 103-124,48,200,0.0,16.5m²,4층,37.47124029,126.9399479,북동향(안방 기준),없음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상",디지털도어락,신림동,서림동,서울특별시 관악구 서림동
원룸,서울 관악구,봉천동 1587-5,서울 관악구 봉천동 1587-5,36,0,9.0,23.1m²,반지하,37.47796646,126.9490428,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",봉천동,청룡동,서울특별시 관악구 청룡동
원룸,서울 관악구,신림동 231-31,서울 관악구 신림동 231-31,38,100,0.0,16.5m²,3층,37.46897877,126.9425213,북향(안방 기준),없음,중앙난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 공동현관",신림동,대학동,서울특별시 관악구 대학동
원룸,서울 관악구,신림동 94-173,서울 관악구 신림동 94-173,40,0,5.0,23.1m²,반지하,37.47797416,126.9375057,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 세탁기, 가스레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,서원동,서울특별시 관악구 서원동
원룸,서울 동작구,상도동 299-59,서울 동작구 상도동 299-59,27,300,8.0,13.2m²,반지하,37.4962924,126.9303052,남향(안방 기준),없음,개별난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관",상도동,상도3동,서울특별시 동작구 상도3동
